,Studies,Action,Log_hrs,Study_hrs
2714,s36840,Quality-checks  ,3,297
2684,s36840,Quality-checks  ,1,85
2707,s36840,Quality-checks  ,,85
2720,s36840,Initial-review-and-planning  ,2.5,85
2676,s36840,Metadata-study-level  ,1.5,19.5
2715,s36840,Documentation  ,3,297
2713,s36840,Communication-for-study  ,,297
2712,s36840,Transformation-of-data  ,7,297
2710,s36840,Initial-review-and-planning  ,1,85
2708,s36840,Communication-for-study  ,0.5,297
2706,s36840,Quality-checks  ,1.5,85
2705,s36840,Quality-checks  ,3.5,19.5
2717,s36840,Transformation-of-data  ,,85
2675,s36840,Communication-for-study  ,0.5,297
2776,s36840,Quality-checks  ,1,85
2723,s36840,Non-curation  ,0.5,85
2731,s36840,Transformation-of-data  ,8,297
2704,s36840,Non-curation  ,2.5,85
2700,s36840,Metadata-study-level  ,1.5,19.5
2722,s36840,Metadata-study-level  ,,297
2686,s36840,Transformation-of-data  ,8,297
2682,s36840,Non-curation  ,2.5,85
2719,s36840,Quality-checks  ,6,297
2681,s36840,Communication-for-study  ,0.5,297
2680,s36840,Non-curation  ,0.5,297
2679,s36840,Transformation-of-data  ,2.5,297
2678,s36840,Other  ,0.5,19.5
2701,s36840,Quality-checks  ,0.5,297
2702,s36840,Non-curation  ,,297
2709,s36840,Quality-checks  ,,297
2711,s36840,Quality-checks  ,2.5,85
2729,s36840,Non-curation  ,1,85
2728,s36840,Documentation  ,8,297
2727,s36840,Metadata-study-level  ,1,297
2726,s36840,Quality-checks  ,0.5,85
2725,s36840,Communication-for-study  ,2.75,297
2724,s36840,Quality-checks  ,,297
2703,s36840,Quality-checks  ,8,297
2730,s36840,Documentation  ,,297
2777,s36840,Quality-checks  ,4,297
2757,s36840,Initial-review-and-planning  ,0.5,297
2779,s36840,Non-curation  ,1,19.5
2778,s36840,Transformation-of-data  ,6.75,297
8960,s36840,Quality-checks  ,8,94
8961,s36840,Quality-checks  ,8,94
8962,s36840,Non-curation  ,6,94
8963,s36840,Metadata-study-level  ,4,94
8964,s36840,Non-curation  ,8,345.5
8978,s36840,Non-curation  ,1,345.5
8965,s36840,Transformation-of-data  ,4,94
8958,s36840,Transformation-of-data  ,5.5,345.5
8959,s36840,Quality-checks  ,8,345.5
8967,s36840,Quality-checks  ,4,94
8968,s36840,Non-curation  ,4,94
8969,s36840,Quality-checks  ,4,345.5
8971,s36840,Quality-checks  ,4,94
8972,s36840,Transformation-of-data  ,8,94
2674,s36840,Documentation  ,2,19.5
8973,s36840,Transformation-of-data  ,4,345.5
2718,s36840,Communication-for-study  ,6,297
2780,s36840,Documentation  ,1,85
2716,s36840,Metadata-study-level  ,,297
2668,s36840,Initial-review-and-planning  ,7,297
8983,s36840,Quality-checks  ,5.5,345.5
8984,s36840,Non-curation  ,6,94
8981,s36840,Other  ,8,345.5
2671,s36840,Communication-for-study  ,0.5,297
2666,s36840,Quality-checks  ,3,85
2667,s36840,Quality-checks  ,1,19.5
8982,s36840,Quality-checks  ,8,345.5
2669,s36840,Transformation-of-data  ,,297
2670,s36840,Quality-checks  ,7,297
8970,s36840,Metadata-study-level  ,4,345.5
2672,s36840,Documentation  ,7,297
2673,s36840,Initial-review-and-planning  ,1.5,85
2744,s36840,Non-curation  ,,297
8980,s36840,Metadata-study-level  ,8,94
8975,s36840,Quality-checks  ,1.5,345.5
2665,s36840,Quality-checks  ,1,85
2745,s36840,Communication-for-study  ,,85
2741,s36840,Non-curation  ,3.5,297
2740,s36840,Transformation-of-data  ,8,297
2739,s36840,Metadata-study-level  ,,85
2738,s36840,Non-curation  ,,297
2737,s36840,Transformation-of-data  ,8,297
2736,s36840,Non-curation  ,,297
2751,s36840,Other  ,1,19.5
2753,s36840,Quality-checks  ,,85
2734,s36840,Quality-checks  ,4.5,297
2759,s36840,Quality-checks  ,1.5,297
2761,s36840,Initial-review-and-planning  ,6.5,297
2784,s36840,Quality-checks  ,,85
2783,s36840,Transformation-of-data  ,3,85
2782,s36840,Quality-checks  ,2,297
8976,s36840,Communication-for-study  ,8,345.5
8966,s36840,Quality-checks  ,6,94
8979,s36840,Quality-checks  ,1.5,345.5
2742,s36840,Non-curation  ,3,297
2743,s36840,Initial-review-and-planning  ,2.5,297
8985,s36840,Communication-for-study  ,8,94
2756,s36840,Quality-checks  ,3,297
2755,s36840,Communication-for-study  ,0.5,85
2754,s36840,Quality-checks  ,,85
2752,s36840,Communication-for-study  ,1,19.5
2750,s36840,Initial-review-and-planning  ,0.5,297
2749,s36840,Transformation-of-data  ,2,85
2748,s36840,Quality-checks  ,3,85
2747,s36840,Communication-for-study  ,1,19.5
2746,s36840,Metadata-study-level  ,1.5,85
2781,s36840,Non-curation  ,,85
8957,s36840,Documentation  ,8,94
2758,s36840,Initial-review-and-planning  ,1.5,297
8977,s36840,Quality-checks  ,1.5,345.5
2735,s36840,Communication-for-study  ,,297
8974,s36840,Documentation  ,8,94
2791,s36841,Documentation  ,5.25,22.25
2790,s36841,Communication-for-study  ,0.5,22.25
2789,s36841,Non-curation  ,4.083333333,22.25
2792,s36841,Non-curation  ,2,22.25
2787,s36841,Non-curation  ,4.5,22.25
2785,s36841,Initial-review-and-planning  ,1,22.25
2788,s36841,Documentation  ,1.5,22.25
2786,s36841,Metadata-study-level  ,3.416666667,22.25
2795,s36842,Quality-checks  ,2,87.25
2797,s36842,Quality-checks  ,3.5,87.25
2793,s36842,Non-curation  ,4.75,87.25
2794,s36842,Quality-checks  ,4,87.25
2796,s36842,Initial-review-and-planning  ,8,87.25
2798,s36842,Quality-checks  ,8,87.25
2800,s36842,Documentation  ,8,87.25
2801,s36842,Initial-review-and-planning  ,4,87.25
2803,s36842,Quality-checks  ,2.5,87.25
9022,s36842,Metadata-study-level  ,7,165
9021,s36842,Quality-checks  ,1,165
8987,s36842,Communication-for-study  ,6,165
9006,s36842,Quality-checks  ,2,165
8989,s36842,Quality-checks  ,1,165
2804,s36842,Non-curation  ,1,87.25
2810,s36842,Quality-checks  ,3,87.25
2806,s36842,Quality-checks  ,0.5,87.25
2807,s36842,Quality-checks  ,1.5,87.25
2808,s36842,Quality-checks  ,3,87.25
2805,s36842,Initial-review-and-planning  ,1,87.25
9023,s36842,Communication-for-study  ,8,165
2811,s36842,Quality-checks  ,2.5,87.25
2812,s36842,Quality-checks  ,2,87.25
8986,s36842,Quality-checks  ,1,165
8988,s36842,Quality-checks  ,2,165
2809,s36842,Quality-checks  ,8,87.25
2802,s36842,Quality-checks  ,1,87.25
9020,s36842,Metadata-study-level  ,0.5,165
2799,s36842,Communication-for-study  ,8.5,87.25
9018,s36842,Quality-checks  ,2,165
9019,s36842,Quality-checks  ,8,165
8993,s36842,Quality-checks  ,6.5,165
8995,s36842,Non-curation  ,2,165
8999,s36842,Quality-checks  ,6.5,165
8998,s36842,Quality-checks  ,1.5,165
8996,s36842,Quality-checks  ,4,165
8994,s36842,Initial-review-and-planning  ,1,165
9004,s36842,Quality-checks  ,8,165
8992,s36842,Quality-checks  ,6,165
9002,s36842,Quality-checks  ,6,165
8991,s36842,Initial-review-and-planning  ,4,165
9001,s36842,Quality-checks  ,5,165
9008,s36842,Quality-checks  ,6,165
9000,s36842,Quality-checks  ,8,165
8997,s36842,Initial-review-and-planning  ,2.5,165
9003,s36842,Initial-review-and-planning  ,1.5,165
9017,s36842,Transformation-of-data  ,4,165
8990,s36842,Quality-checks  ,4,165
9014,s36842,Quality-checks  ,5,165
9013,s36842,Transformation-of-data  ,2,165
9012,s36842,Transformation-of-data  ,6,165
9016,s36842,Communication-for-study  ,1,165
9005,s36842,Quality-checks  ,3,165
9009,s36842,Non-curation  ,8,165
9007,s36842,Quality-checks  ,5,165
9010,s36842,Initial-review-and-planning  ,5,165
9011,s36842,Transformation-of-data  ,4,165
9015,s36842,Quality-checks  ,4,165
2813,s36846,Quality-checks  ,1,1
2825,s36849,Metadata-study-level  ,1,34.43333333
2822,s36849,Quality-checks  ,2,34.43333333
2823,s36849,Non-curation  ,0.25,34.43333333
2817,s36849,Transformation-of-data  ,6.166666667,34.43333333
2826,s36849,Initial-review-and-planning  ,,34.43333333
2819,s36849,Transformation-of-data  ,5.25,34.43333333
2816,s36849,Non-curation  ,0.916666667,34.43333333
2815,s36849,Quality-checks  ,1.833333333,34.43333333
2820,s36849,Non-curation  ,0.883333333,34.43333333
2814,s36849,Transformation-of-data  ,3.783333333,34.43333333
2824,s36849,Documentation  ,3,34.43333333
2818,s36849,Quality-checks  ,2.6,34.43333333
2821,s36849,Documentation  ,3,34.43333333
2831,s36850,Transformation-of-data  ,3.5,130
2832,s36850,Non-curation  ,8,130
2833,s36850,Transformation-of-data  ,3,130
2828,s36850,Transformation-of-data  ,4,130
2835,s36850,Communication-for-study  ,1,130
2830,s36850,Transformation-of-data  ,5,130
2834,s36850,Non-curation  ,8,130
2829,s36850,Transformation-of-data  ,3,130
2840,s36850,Non-curation  ,3,130
2841,s36850,Transformation-of-data  ,3,130
2838,s36850,Transformation-of-data  ,4,130
2839,s36850,Transformation-of-data  ,5,130
2842,s36850,Transformation-of-data  ,4.666666667,130
2827,s36850,Communication-for-study  ,3,130
2836,s36850,Transformation-of-data  ,4.5,130
2837,s36850,Transformation-of-data  ,4,130
2858,s36853,Initial-review-and-planning  ,0.5,53.5
2843,s36853,Quality-checks  ,1,53.5
2856,s36853,Quality-checks  ,2,53.5
2845,s36853,Non-curation  ,0.25,53.5
2846,s36853,Quality-checks  ,2.5,53.5
2850,s36853,Metadata-study-level  ,1.5,53.5
2848,s36853,Quality-checks  ,1,53.5
2847,s36853,Transformation-of-data  ,0.5,53.5
2851,s36853,Communication-for-study  ,4.5,53.5
2852,s36853,Communication-for-study  ,,53.5
2864,s36853,Metadata-study-level  ,0.25,53.5
2844,s36853,Communication-for-study  ,,53.5
2855,s36853,Initial-review-and-planning  ,3,53.5
2854,s36853,Initial-review-and-planning  ,4,53.5
2861,s36853,Quality-checks  ,0.5,53.5
2853,s36853,Metadata-study-level  ,0.25,53.5
2869,s36853,Non-curation  ,3.5,53.5
2867,s36853,Metadata-study-level  ,4,53.5
2866,s36853,Quality-checks  ,2.5,53.5
2865,s36853,Other  ,1.5,53.5
2868,s36853,Quality-checks  ,1,53.5
2863,s36853,Non-curation  ,,53.5
2862,s36853,Quality-checks  ,,53.5
2870,s36853,Non-curation  ,4.5,53.5
2860,s36853,Communication-for-study  ,,53.5
2857,s36853,Initial-review-and-planning  ,1,53.5
2859,s36853,Non-curation  ,0.25,53.5
2849,s36853,Transformation-of-data  ,,53.5
2871,s36854,Quality-checks  ,4,4
2878,s36856,Quality-checks  ,3,117.5
2879,s36856,Quality-checks  ,,117.5
2877,s36856,Quality-checks  ,0.5,117.5
2876,s36856,Quality-checks  ,8,117.5
2874,s36856,Quality-checks  ,8,117.5
2873,s36856,Quality-checks  ,1.5,117.5
2872,s36856,Quality-checks  ,1,117.5
2875,s36856,Quality-checks  ,2,117.5
2880,s36859,Non-curation  ,0.5,1
2881,s36859,Non-curation  ,0.5,1
2882,s36862,Quality-checks  ,0.5,13
2884,s36862,Quality-checks  ,1.5,13
2883,s36862,Transformation-of-data  ,5.5,13
2885,s36862,Transformation-of-data  ,1,13
2888,s36863,Transformation-of-data  ,1.5,116.5
2889,s36863,Transformation-of-data  ,2,116.5
2890,s36863,Transformation-of-data  ,,116.5
2899,s36863,Transformation-of-data  ,2,116.5
2886,s36863,Transformation-of-data  ,3.5,116.5
2892,s36863,Quality-checks  ,3,116.5
2894,s36863,Quality-checks  ,,116.5
2905,s36863,Communication-for-study  ,1.5,116.5
2893,s36863,Transformation-of-data  ,4.5,116.5
2897,s36863,Transformation-of-data  ,,116.5
2901,s36863,Non-curation  ,1.5,116.5
2902,s36863,Quality-checks  ,,116.5
2904,s36863,Quality-checks  ,4,116.5
2927,s36863,Transformation-of-data  ,3.5,116.5
2895,s36863,Communication-for-study  ,2,116.5
2891,s36863,Transformation-of-data  ,,116.5
2898,s36863,Quality-checks  ,2,116.5
2896,s36863,Metadata-study-level  ,1,116.5
2900,s36863,Non-curation  ,2,116.5
2907,s36863,Quality-checks  ,3.5,116.5
2887,s36863,Transformation-of-data  ,2.5,116.5
2911,s36863,Initial-review-and-planning  ,,116.5
2915,s36863,Quality-checks  ,3.5,116.5
2912,s36863,Non-curation  ,,116.5
2913,s36863,Quality-checks  ,2,116.5
2906,s36863,Quality-checks  ,4.5,116.5
2916,s36863,Non-curation  ,,116.5
2910,s36863,Metadata-study-level  ,,116.5
2921,s36863,Quality-checks  ,8,116.5
2919,s36863,Non-curation  ,1,116.5
2926,s36863,Quality-checks  ,4.5,116.5
2918,s36863,Initial-review-and-planning  ,0.5,116.5
2917,s36863,Transformation-of-data  ,,116.5
2923,s36863,Transformation-of-data  ,,116.5
2924,s36863,Quality-checks  ,3,116.5
2925,s36863,Transformation-of-data  ,,116.5
2903,s36863,Transformation-of-data  ,,116.5
2914,s36863,Initial-review-and-planning  ,,116.5
2908,s36863,Transformation-of-data  ,5,116.5
2920,s36863,Quality-checks  ,3,116.5
2909,s36863,Non-curation  ,1,116.5
2922,s36863,Communication-for-study  ,1,116.5
2928,s36865,Metadata-study-level  ,2.333333333,2.333333333
2930,s36866,Transformation-of-data  ,5,82
2933,s36866,Quality-checks  ,2.5,82
2929,s36866,Quality-checks  ,2,82
2934,s36866,Non-curation  ,2.5,82
2935,s36866,Communication-for-study  ,4.5,82
2936,s36866,Quality-checks  ,6.5,82
2937,s36866,Documentation  ,4,82
2938,s36866,Quality-checks  ,7.5,82
2939,s36866,Quality-checks  ,1.5,82
2940,s36866,Non-curation  ,3,82
2941,s36866,Initial-review-and-planning  ,8,82
2942,s36866,Quality-checks  ,1.5,82
2943,s36866,Quality-checks  ,0.5,82
2944,s36866,Initial-review-and-planning  ,5,82
2945,s36866,Quality-checks  ,3.5,82
2946,s36866,Quality-checks  ,8,82
2947,s36866,Transformation-of-data  ,7.5,82
2932,s36866,Quality-checks  ,1,82
2931,s36866,Quality-checks  ,0.5,82
2952,s36868,Other  ,1,14.41666667
2948,s36868,Quality-checks  ,1.666666667,14.41666667
2949,s36868,Non-curation  ,2.75,14.41666667
2951,s36868,Quality-checks  ,1.75,14.41666667
2950,s36868,Transformation-of-data  ,3.25,14.41666667
2953,s36868,Transformation-of-data  ,2.5,14.41666667
2954,s36868,Quality-checks  ,1.5,14.41666667
2992,s36873,Transformation-of-data  ,8.5,400.5
2991,s36873,Quality-checks  ,0.5,122
3014,s36873,Transformation-of-data  ,6,400.5
3019,s36873,Other  ,8.5,400.5
3016,s36873,Transformation-of-data  ,8.5,400.5
3017,s36873,Transformation-of-data  ,8.5,400.5
3038,s36873,Non-curation  ,8,122
3037,s36873,Transformation-of-data  ,6,400.5
2993,s36873,Non-curation  ,5,122
3036,s36873,Initial-review-and-planning  ,0.5,400.5
3034,s36873,Initial-review-and-planning  ,8.5,400.5
3033,s36873,Non-curation  ,2,122
3032,s36873,Non-curation  ,3,122
3031,s36873,Transformation-of-data  ,5.5,400.5
3030,s36873,Quality-checks  ,4.5,400.5
3029,s36873,Quality-checks  ,0.5,122
3028,s36873,Quality-checks  ,4,400.5
3027,s36873,Transformation-of-data  ,8.5,400.5
3035,s36873,Transformation-of-data  ,5.5,400.5
3001,s36873,Non-curation  ,6,122
3002,s36873,Transformation-of-data  ,8.5,400.5
2996,s36873,Quality-checks  ,3,400.5
2994,s36873,Transformation-of-data  ,6,400.5
2995,s36873,Communication-for-study  ,8,400.5
2990,s36873,Non-curation  ,5,122
3009,s36873,Transformation-of-data  ,8.5,400.5
3004,s36873,Metadata-study-level  ,3,122
3005,s36873,Initial-review-and-planning  ,3,400.5
3006,s36873,Quality-checks  ,1.75,122
3007,s36873,Documentation  ,6,400.5
3025,s36873,Transformation-of-data  ,6,400.5
3013,s36873,Quality-checks  ,8,400.5
3003,s36873,Transformation-of-data  ,8.5,400.5
2998,s36873,Quality-checks  ,3,400.5
3011,s36873,Initial-review-and-planning  ,8.5,400.5
3012,s36873,Transformation-of-data  ,8.5,400.5
3000,s36873,Quality-checks  ,8,400.5
2999,s36873,Non-curation  ,2,122
3015,s36873,Communication-for-study  ,4,400.5
2997,s36873,Other  ,8.5,400.5
3010,s36873,Transformation-of-data  ,8.5,400.5
3026,s36873,Transformation-of-data  ,5.5,400.5
3023,s36873,Transformation-of-data  ,8.5,400.5
2968,s36873,Communication-for-study  ,8.5,400.5
2955,s36873,Transformation-of-data  ,8.5,400.5
2983,s36873,Transformation-of-data  ,7,400.5
2959,s36873,Quality-checks  ,1.5,400.5
2972,s36873,Non-curation  ,2,122
2979,s36873,Non-curation  ,2,400.5
2986,s36873,Documentation  ,2,400.5
2985,s36873,Initial-review-and-planning  ,8,400.5
2984,s36873,Initial-review-and-planning  ,2.5,400.5
2956,s36873,Transformation-of-data  ,9,400.5
2982,s36873,Communication-for-study  ,6,400.5
2981,s36873,Other  ,2,400.5
2980,s36873,Transformation-of-data  ,6,400.5
2978,s36873,Initial-review-and-planning  ,8.5,400.5
2977,s36873,Other  ,8.5,400.5
2976,s36873,Transformation-of-data  ,8.5,400.5
2975,s36873,Transformation-of-data  ,8.5,400.5
2974,s36873,Transformation-of-data  ,6,400.5
2973,s36873,Quality-checks  ,1.5,122
2970,s36873,Metadata-study-level  ,1.5,122
2989,s36873,Transformation-of-data  ,8.5,400.5
3018,s36873,Quality-checks  ,1.5,122
2960,s36873,Initial-review-and-planning  ,8.5,400.5
3022,s36873,Quality-checks  ,2.833333333,122
3021,s36873,Quality-checks  ,0.25,122
3020,s36873,Documentation  ,4.5,400.5
2988,s36873,Transformation-of-data  ,8.5,400.5
2963,s36873,Other  ,7,400.5
2958,s36873,Transformation-of-data  ,8.5,400.5
3008,s36873,Quality-checks  ,9.5,122
2987,s36873,Transformation-of-data  ,6,400.5
2967,s36873,Non-curation  ,1.5,400.5
2966,s36873,Communication-for-study  ,2,122
2965,s36873,Transformation-of-data  ,8.5,400.5
2964,s36873,Communication-for-study  ,8.5,400.5
2962,s36873,Quality-checks  ,5.166666667,122
2971,s36873,Transformation-of-data  ,7.5,400.5
2961,s36873,Quality-checks  ,4,122
2969,s36873,Transformation-of-data  ,8.5,400.5
2957,s36873,Non-curation  ,4,122
3024,s36873,Quality-checks  ,8,122
3043,s36875,Quality-checks  ,1.5,5.716666667
3044,s36875,Quality-checks  ,0.5,5.716666667
3042,s36875,Quality-checks  ,0.466666667,5.716666667
3041,s36875,Quality-checks  ,1.5,5.716666667
3040,s36875,Quality-checks  ,1,5.716666667
3039,s36875,Quality-checks  ,0.75,5.716666667
3049,s36876,Communication-for-study  ,1.5,6.2
3048,s36876,Quality-checks  ,0.5,6.2
3045,s36876,Communication-for-study  ,2.5,6.2
3046,s36876,Quality-checks  ,0.2,6.2
3050,s36876,Quality-checks  ,0.5,6.2
3047,s36876,Quality-checks  ,1,6.2
3073,s36877,Initial-review-and-planning  ,1.5,346.5
3064,s36877,Non-curation  ,8,346.5
3052,s36877,Non-curation  ,6,346.5
3055,s36877,Communication-for-study  ,2,346.5
3063,s36877,Transformation-of-data  ,4,346.5
3057,s36877,Other  ,7.5,346.5
3051,s36877,Non-curation  ,,346.5
3058,s36877,Transformation-of-data  ,2,346.5
3054,s36877,Non-curation  ,,346.5
3059,s36877,Non-curation  ,4,346.5
3060,s36877,Transformation-of-data  ,40,346.5
3053,s36877,Communication-for-study  ,8,346.5
3072,s36877,Initial-review-and-planning  ,,346.5
3062,s36877,Quality-checks  ,,346.5
3076,s36877,Other  ,16,346.5
3065,s36877,Quality-checks  ,,346.5
3056,s36877,Documentation  ,8,346.5
3061,s36877,Non-curation  ,4,346.5
3074,s36877,Quality-checks  ,,346.5
3068,s36877,Non-curation  ,8,346.5
3067,s36877,Other  ,,346.5
3077,s36877,Communication-for-study  ,8,346.5
3066,s36877,Non-curation  ,,346.5
3075,s36877,Non-curation  ,,346.5
3071,s36877,Transformation-of-data  ,1.5,346.5
3070,s36877,Quality-checks  ,,346.5
3069,s36877,Other  ,35,346.5
3095,s36878,Non-curation  ,3,116.25
3085,s36878,Non-curation  ,2,116.25
3078,s36878,Non-curation  ,3,116.25
3086,s36878,Non-curation  ,2,116.25
3080,s36878,Non-curation  ,0.5,116.25
3097,s36878,Non-curation  ,2,116.25
3098,s36878,Non-curation  ,1.5,116.25
3084,s36878,Non-curation  ,8.5,116.25
3088,s36878,Non-curation  ,2,116.25
3094,s36878,Non-curation  ,6.5,116.25
3090,s36878,Non-curation  ,2,116.25
3091,s36878,Non-curation  ,8,116.25
3092,s36878,Non-curation  ,1.5,116.25
3093,s36878,Non-curation  ,2,116.25
3079,s36878,Non-curation  ,0.5,116.25
3087,s36878,Non-curation  ,1.5,116.25
3089,s36878,Non-curation  ,8,116.25
3083,s36878,Non-curation  ,0.5,116.25
3081,s36878,Non-curation  ,8,116.25
3096,s36878,Non-curation  ,2,116.25
3099,s36878,Non-curation  ,1.5,116.25
3104,s36878,Non-curation  ,0.5,116.25
3109,s36878,Non-curation  ,8,116.25
3116,s36878,Non-curation  ,8,116.25
3108,s36878,Non-curation  ,1.5,116.25
3082,s36878,Non-curation  ,0.5,116.25
3111,s36878,Non-curation  ,8.5,116.25
3103,s36878,Non-curation  ,1,116.25
3105,s36878,Non-curation  ,0.5,116.25
3107,s36878,Non-curation  ,0.75,116.25
3110,s36878,Non-curation  ,8.5,116.25
3102,s36878,Non-curation  ,0.75,116.25
3112,s36878,Non-curation  ,0.5,116.25
3113,s36878,Non-curation  ,0.5,116.25
3114,s36878,Non-curation  ,2,116.25
3115,s36878,Non-curation  ,2,116.25
3117,s36878,Non-curation  ,2,116.25
3101,s36878,Non-curation  ,1,116.25
3100,s36878,Non-curation  ,0.75,116.25
3106,s36878,Non-curation  ,1.5,116.25
3124,s36883,Quality-checks  ,3,89
3134,s36883,Transformation-of-data  ,4.5,89
3119,s36883,Metadata-study-level  ,4.5,89
3120,s36883,Documentation  ,6,89
3126,s36883,Quality-checks  ,1.5,89
3123,s36883,Metadata-study-level  ,2,89
3118,s36883,Quality-checks  ,2.5,89
3138,s36883,Transformation-of-data  ,6.5,89
3127,s36883,Transformation-of-data  ,3,89
3121,s36883,Quality-checks  ,2,89
3130,s36883,Initial-review-and-planning  ,4.5,89
3132,s36883,Communication-for-study  ,5.5,89
3129,s36883,Communication-for-study  ,4,89
3133,s36883,Metadata-study-level  ,6,89
3139,s36883,Initial-review-and-planning  ,4,89
3122,s36883,Quality-checks  ,5,89
3136,s36883,Initial-review-and-planning  ,6.5,89
3137,s36883,Quality-checks  ,2.5,89
3140,s36883,Initial-review-and-planning  ,7,89
3135,s36883,Communication-for-study  ,2,89
3128,s36883,Metadata-study-level  ,3,89
3131,s36883,Quality-checks  ,2.5,89
3125,s36883,Quality-checks  ,1,89
3141,s36884,Quality-checks  ,1.5,7.5
3142,s36884,Quality-checks  ,,7.5
3143,s36884,Quality-checks  ,,7.5
3144,s36884,Quality-checks  ,1.5,7.5
3145,s36884,Quality-checks  ,2,7.5
3155,s36900,Quality-checks  ,,244
3148,s36900,Communication-for-study  ,6,244
3150,s36900,Quality-checks  ,1,244
3151,s36900,Quality-checks  ,0.5,244
3152,s36900,Quality-checks  ,8,244
3146,s36900,Communication-for-study  ,1.5,244
3154,s36900,Quality-checks  ,1.5,244
3158,s36900,Quality-checks  ,0.5,244
3161,s36900,Quality-checks  ,8,244
3156,s36900,Documentation  ,8,244
3157,s36900,Quality-checks  ,2,244
3153,s36900,Documentation  ,8,244
3159,s36900,Quality-checks  ,1,244
3147,s36900,Non-curation  ,4,244
3162,s36900,Quality-checks  ,2,244
3149,s36900,Communication-for-study  ,4,244
3165,s36900,Quality-checks  ,1,244
3164,s36900,Quality-checks  ,0.5,244
3166,s36900,Transformation-of-data  ,8,244
3167,s36900,Quality-checks  ,5,244
3168,s36900,Quality-checks  ,0.5,244
3160,s36900,Quality-checks  ,5,244
3169,s36900,Documentation  ,8,244
3171,s36900,Non-curation  ,8,244
3172,s36900,Transformation-of-data  ,8,244
3176,s36900,Documentation  ,4,244
3177,s36900,Quality-checks  ,1,244
3170,s36900,Metadata-study-level  ,8,244
3173,s36900,Quality-checks  ,4,244
3163,s36900,Quality-checks  ,0.5,244
3174,s36900,Quality-checks  ,3,244
3175,s36900,Quality-checks  ,4.5,244
9034,s36901,Quality-checks  ,4,135
3191,s36901,Initial-review-and-planning  ,0.5,28.66666667
9036,s36901,Transformation-of-data  ,8,135
9035,s36901,Quality-checks  ,2,15
9033,s36901,Initial-review-and-planning  ,1.5,8.5
9030,s36901,Transformation-of-data  ,6,135
9060,s36901,Quality-checks  ,1,15
9031,s36901,Transformation-of-data  ,4,135
9025,s36901,Transformation-of-data  ,7.5,135
9028,s36901,Transformation-of-data  ,3.5,135
9037,s36901,Transformation-of-data  ,2.5,135
9032,s36901,Quality-checks  ,4,15
9042,s36901,Transformation-of-data  ,8,135
9048,s36901,Non-curation  ,2,135
3193,s36901,Quality-checks  ,1.083333333,35.25
9040,s36901,Quality-checks  ,8,135
9041,s36901,Initial-review-and-planning  ,4,8.5
9062,s36901,Non-curation  ,0.5,135
9063,s36901,Initial-review-and-planning  ,5.5,135
3198,s36901,Communication-for-study  ,0.5,28.66666667
3197,s36901,Non-curation  ,1.5,28.66666667
3196,s36901,Initial-review-and-planning  ,,28.66666667
3195,s36901,Transformation-of-data  ,4.75,35.25
3194,s36901,Non-curation  ,0.75,28.66666667
9027,s36901,Non-curation  ,0.5,135
9026,s36901,Initial-review-and-planning  ,3,135
9043,s36901,Transformation-of-data  ,8,135
9039,s36901,Transformation-of-data  ,8,135
9038,s36901,Transformation-of-data  ,5.5,135
9044,s36901,Transformation-of-data  ,2.5,135
9049,s36901,Non-curation  ,8,135
9061,s36901,Quality-checks  ,1.5,135
9045,s36901,Transformation-of-data  ,2.5,135
3181,s36901,Transformation-of-data  ,2.316666667,35.25
3182,s36901,Initial-review-and-planning  ,0.833333333,28.66666667
3179,s36901,Transformation-of-data  ,0.716666667,35.25
3180,s36901,Initial-review-and-planning  ,,28.66666667
3183,s36901,Quality-checks  ,1.5,28.66666667
3187,s36901,Initial-review-and-planning  ,3.5,28.66666667
3178,s36901,Quality-checks  ,0.333333333,28.66666667
3186,s36901,Documentation  ,3.5,28.66666667
3188,s36901,Quality-checks  ,1.183333333,35.25
3189,s36901,Quality-checks  ,0.75,28.66666667
3190,s36901,Transformation-of-data  ,4.5,28.66666667
3185,s36901,Quality-checks  ,3,35.25
3184,s36901,Quality-checks  ,1.5,28.66666667
9024,s36901,Communication-for-study  ,5,135
9029,s36901,Quality-checks  ,1,15
9046,s36901,Non-curation  ,8,135
9047,s36901,Quality-checks  ,2,15
9050,s36901,Transformation-of-data  ,8,135
9051,s36901,Quality-checks  ,2,8.5
9052,s36901,Transformation-of-data  ,8,135
9053,s36901,Quality-checks  ,0.5,8.5
9054,s36901,Initial-review-and-planning  ,5,15
9055,s36901,Initial-review-and-planning  ,0.5,8.5
9056,s36901,Quality-checks  ,,135
9057,s36901,Quality-checks  ,,135
9058,s36901,Transformation-of-data  ,4,135
9059,s36901,Other  ,0.5,135
3192,s36901,Quality-checks  ,,28.66666667
9072,s36903,Communication-for-study  ,0.5,23.08333333
9076,s36903,Documentation  ,2.5,23.08333333
9074,s36903,Quality-checks  ,4,23.08333333
9075,s36903,Communication-for-study  ,2,23.08333333
9073,s36903,Initial-review-and-planning  ,3,23.08333333
9077,s36903,Transformation-of-data  ,0.75,23.08333333
9078,s36903,Non-curation  ,1.25,23.08333333
9080,s36903,Quality-checks  ,1,23.08333333
9079,s36903,Non-curation  ,1,23.08333333
9081,s36903,Quality-checks  ,2.5,23.08333333
9066,s36903,Documentation  ,1,23.08333333
9071,s36903,Quality-checks  ,0.25,23.08333333
